HCPI,YEAR_q,YEAR
1.88767229054697,19701,1970
1.91141388122123,19702,1970
1.92479550504663,19703,1970
1.88939895169492,19704,1970
1.89285227396924,19711,1971
1.88939895169923,19712,1971
1.90925555478844,19713,1971
1.88724062526213,19714,1971
1.86090904289184,19721,1972
1.93817712888066,19722,1972
1.92911215789061,19723,1972
1.89069394754941,19724,1972
2.02925850397972,19731,1973
2.17170804797349,19732,1973
2.18163634952025,19733,1973
2.28739434430782,19734,1973
2.29559598471096,19741,1974
2.39876398779818,19742,1974
2.51833527168735,19743,1974
2.88740909021668,19744,1974
2.82524928920121,19751,1975
2.87402746638264,19752,1975
2.84381089644888,19753,1975
2.8861140943665,19754,1975
2.99626123548185,19761,1976
3.03494535937918,19762,1976
3.22660760978963,19763,1976
3.39716942896417,19764,1976
3.4393702914184,19771,1977
3.53256386271035,19772,1977
3.59586515643567,19773,1977
3.6468578652382,19774,1977
3.72246774383355,19781,1978
3.80335273023788,19782,1978
3.89127119373843,19783,1978
3.97567291868207,19784,1978
4.13040941442967,19791,1979
4.19371070808466,19792,1979
4.32031329555288,19793,1979
4.49439185324916,19794,1979
4.58934379379318,19801,1980
4.68781247287651,19802,1980
4.80738158321335,19803,1980
4.90936700087117,19804,1980
5.15553869862347,19811,1981
5.28389965530858,19812,1981
5.35599279534706,19813,1981
5.37005974948673,19814,1981
5.31379193289281,19821,1982
5.34368421045941,19822,1982
5.28741639386548,19823,1982
5.28565802457827,19824,1982
5.27510780897788,19831,1983
5.45446147444795,19832,1983
5.79382674349222,19833,1983
5.67074089463366,19834,1983
5.63733187847496,19841,1984
5.7041499107396,19842,1984
5.6654657867895,19843,1984
5.94328813139568,19844,1984
6.01713964077412,19851,1985
6.35122980200937,19852,1985
7.15304618895644,19853,1985
7.71748272449945,19854,1985
8.32939523037607,19861,1986
9.21913008082369,19862,1986
9.80642541688988,19863,1986
9.9435782199233,19864,1986
10.2249173030688,19871,1987
10.3849289066078,19872,1987
10.5414237716074,19873,1987
10.7436362376183,19874,1987
11.1726783394151,19881,1988
11.286972341943,19882,1988
11.9129518019417,19883,1988
12.0606548205931,19884,1988
12.3507857500868,19891,1989
12.6180578790751,19892,1989
12.9521480403103,19893,1989
13.7996820282861,19894,1989
15.178243535699,19901,1990
17.2003681958072,19902,1990
19.1046821148482,19903,1990
21.5576072460229,19904,1990
23.750293725288,19911,1991
24.1670272421973,19912,1991
24.6136530366908,19913,1991
24.7349805162972,19914,1991
25.417227792925,19921,1992
26.3350965516872,19922,1992
27.2775824802246,19923,1992
28.0073057271332,19924,1992
28.8214306989855,19931,1993
29.8957943227473,19932,1993
30.2773604542634,19933,1993
30.6940939711726,19934,1993
32.0023207077991,19941,1994
32.8111705718424,19942,1994
33.4564920938073,19943,1994
34.4112866072323,19944,1994
34.6785587362205,19951,1995
35.5102674007694,19952,1995
36.2733996638015,19953,1995
37.3794139344172,19954,1995
38.3852011566623,19961,1996
39.4490145648062,19962,1996
40.5532704661523,19963,1996
41.3586035916562,19964,1996
42.8602509479452,19971,1997
43.2242333867648,19972,1997
43.8466961082242,19973,1997
44.5641107702452,19974,1997
45.5487975612544,19981,1998
46.3488555789492,19982,1998
46.6319530313644,19983,1998
47.5058625583852,19984,1998
47.8927037977101,19991,1999
48.1142583256873,19992,1999
49.4365520164711,19993,1999
50.2911194815255,19994,1999
51.1101002115528,20001,2000
51.906846096431,20002,2000
51.9298121640661,20003,2000
52.488064269657,20004,2000
54.0833226600008,20011,2001
54.8853684066407,20012,2001
56.2138670883003,20013,2001
57.3657037112282,20014,2001
58.9485957574608,20021,2002
59.9538028716416,20022,2002
60.6940168977259,20023,2002
61.050874256363,20024,2002
62.4800703114994,20031,2003
63.2467836463934,20032,2003
63.7873695461112,20033,2003
64.6176812221481,20034,2003
66.4461335300169,20041,2004
67.7428330411048,20042,2004
68.7498067758732,20043,2004
70.4528290220428,20044,2004
72.3908118063254,20051,2005
73.6592453880161,20052,2005
75.1944386783911,20053,2005
77.0493902950698,20054,2005
77.8496694211226,20061,2006
79.2205669968775,20062,2006
80.137443081693,20063,2006
80.656829534363,20064,2006
83.0064349154893,20071,2007
83.75548204451,20072,2007
85.2465098202022,20073,2007
87.5395833425345,20074,2007
90.2707787705204,20081,2008
93.8534853215912,20082,2008
96.7772423935942,20083,2008
97.204764575724,20084,2008
96.0935602263041,20091,2009
95.8833323764139,20092,2009
96.453950826116,20093,2009
96.7048109495144,20094,2009
98.6039280808759,20101,2010
99.5031379598182,20102,2010
100.303417085871,20103,2010
101.589516873435,20104,2010
103.576965034162,20111,2011
105.666535996136,20112,2011
107.626468851664,20113,2011
107.986525840721,20114,2011
108.801749212172,20121,2012
109.766430201721,20122,2012
110.802443236272,20123,2012
111.553128090816,20124,2012
113.292271283243,20131,2013
114.593231913516,20132,2013
115.737941397594,20133,2013
116.451261847613,20134,2013
117.402355780971,20141,2014
118.268530613137,20142,2014
119.814058254845,20143,2014
120.316779333906,20144,2014
120.214876412474,20151,2015
121.230508862739,20152,2015
122.273315425386,20153,2015
123.448595785893,20154,2015
125.388148057135,20161,2016
126.43435138383,20162,2016
127.94591138506,20163,2016
129.070240284852,20164,2016
130.313455926314,20171,2017
131.655177725159,20172,2017
134.043102850698,20173,2017
135.340666716923,20174,2017
135.962274537654,20181,2018
136.831846133867,20182,2018
138.74082752868,20183,2018
139.753063214897,20184,2018
141.733376654712,20191,2019
143.258523712133,20192,2019
142.983385824269,20193,2019
143.710293330478,20194,2019
143.995621510486,20201,2020
146.159360208877,20202,2020
148.710330008706,20203,2020
151.196761291629,20204,2020
152.192013157608,20211,2021
153.112536214537,20212,2021
154.213087765995,20213,2021
155.687283362701,20214,2021
157.276968937029,20221,2022
162.297386199543,20222,2022
167.715224855639,20223,2022
170.272988183564,20224,2022
172.120827825518,20231,2023
