Date;Number
2004-01;11
2004-02;11
2004-03;37
2004-04;30
2004-05;18
2004-06;29
2004-07;26
2004-08;19
2004-09;22
2004-10;9
2004-11;21
2004-12;12
2005-01;8
2005-02;12
2005-03;26
2005-04;21
2005-05;25
2005-06;18
2005-07;30
2005-08;20
2005-09;10
2005-10;7
2005-11;6
2005-12;8
2006-01;13
2006-02;12
2006-03;14
2006-04;23
2006-05;25
2006-06;16
2006-07;24
2006-08;22
2006-09;13
2006-10;15
2006-11;11
2006-12;8
2007-01;7
2007-02;13
2007-03;14
2007-04;26
2007-05;26
2007-06;22
2007-07;16
2007-08;16
2007-09;11
2007-10;8
2007-11;9
2007-12;7
2008-01;10
2008-02;13
2008-03;14
2008-04;25
2008-05;21
2008-06;18
2008-07;19
2008-08;18
2008-09;12
2008-10;9
2008-11;10
2008-12;9
2009-01;9
2009-02;11
2009-03;15
2009-04;33
2009-05;29
2009-06;20
2009-07;21
2009-08;18
2009-09;16
2009-10;10
2009-11;10
2009-12;8
2010-01;8
2010-02;10
2010-03;19
2010-04;28
2010-05;24
2010-06;25
2010-07;22
2010-08;22
2010-09;17
2010-10;12
2010-11;11
2010-12;8
2011-01;10
2011-02;13
2011-03;26
2011-04;34
2011-05;40
2011-06;37
2011-07;30
2011-08;28
2011-09;21
2011-10;14
2011-11;13
2011-12;10
2012-01;12
2012-02;15
2012-03;35
2012-04;32
2012-05;37
2012-06;31
2012-07;36
2012-08;32
2012-09;24
2012-10;14
2012-11;21
2012-12;19
2013-01;19
2013-02;19
2013-03;25
2013-04;40
2013-05;47
2013-06;32
2013-07;42
2013-08;35
2013-09;24
2013-10;18
2013-11;14
2013-12;14
2014-01;16
2014-02;21
2014-03;41
2014-04;44
2014-05;43
2014-06;37
2014-07;40
2014-08;33
2014-09;23
2014-10;22
2014-11;16
2014-12;14
2015-01;16
2015-02;22
2015-03;36
2015-04;51
2015-05;58
2015-06;46
2015-07;45
2015-08;40
2015-09;31
2015-10;20
2015-11;18
2015-12;17
2016-01;18
2016-02;23
2016-03;33
2016-04;53
2016-05;59
2016-06;49
2016-07;47
2016-08;43
2016-09;33
2016-10;19
2016-11;17
2016-12;15
2017-01;17
2017-02;23
2017-03;46
2017-04;49
2017-05;54
2017-06;53
2017-07;48
2017-08;45
2017-09;28
2017-10;21
2017-11;18
2017-12;15
2018-01;18
2018-02;25
2018-03;34
2018-04;80
2018-05;74
2018-06;50
2018-07;52
2018-08;49
2018-09;40
2018-10;25
2018-11;22
2018-12;18
2019-01;19
2019-02;32
2019-03;51
2019-04;67
2019-05;56
2019-06;61
2019-07;53
2019-08;53
2019-09;35
2019-10;25
2019-11;20
2019-12;17
2020-01;25
2020-02;28
2020-03;39
2020-04;66
2020-05;100
2020-06;74
2020-07;76
2020-08;65
2020-09;46
2020-10;31
2020-11;30
2020-12;27
2021-01;29
2021-02;44
2021-03;57
2021-04;72
2021-05;80
2021-06;66
2021-07;59
2021-08;51
2021-09;38
2021-10;28
2021-11;22
2021-12;20
2022-01;24
2022-02;33
2022-03;63
2022-04;56
2022-05;80
2022-06;76
2022-07;69
2022-08;62
2022-09;40
2022-10;30
2022-11;25
2022-12;22
2023-01;27
2023-02;33
2023-03;54
2023-04;66
2023-05;82
2023-06;76
2023-07;68
2023-08;55
2023-09;50
2023-10;34
2023-11;26
2023-12;20
2024-01;25
